epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6829,1.86441,5.24015,5.50606,1.51235,0,0.00128,0.28571,0.00126,0.00036,0,0,0,0,2.29024,4.37597,4.88098,1.76924,0,3.334e-05,3.334e-05,3.334e-05
2,16.0255,2.04916,4.97709,6.31583,1.55278,0,0.00142,0.31429,0.0015,0.00031,0.00013,0.02857,7e-05,1e-05,2.30362,4.38948,4.89898,1.79404,0,8.25248e-05,8.25248e-05,8.25248e-05
3,17.9009,1.79153,5.22548,5.20236,1.39334,0,0.00221,0.48571,0.00256,0.00105,0.00078,0.17143,0.00058,0.00011,1.91314,2.7219,4.65381,1.41832,0,0.000130719,0.000130719,0.000130719
4,19.4341,1.63772,2.02206,5.34635,1.19037,0,0.00348,0.77143,0.00642,0.00269,0.00271,0.6,0.00377,0.00086,1.71159,1.89813,4.18355,1.22078,0,0.000177924,0.000177924,0.000177924
5,21.0576,1.46589,1.4035,4.53919,1.14395,0,0.00342,0.74286,0.05364,0.01297,0.00368,0.8,0.00633,0.00218,1.48971,1.57125,4.00821,1.09465,0,0.000224138,0.000224138,0.000224138
6,22.5456,1.66099,1.43383,4.22754,1.05927,0,0.0036,0.77143,0.00691,0.00313,0.00387,0.82857,0.00781,0.00229,1.46765,2.07604,3.92783,1.06771,0,0.000269362,0.000269362,0.000269362
7,23.9469,1.55459,1.73603,3.85077,1.03016,0,0.00358,0.77143,0.0329,0.00563,0.00385,0.82857,0.0077,0.00213,1.48253,1.70541,3.97976,1.07009,0,0.000313596,0.000313596,0.000313596
8,25.331,1.44581,1.35239,3.12685,0.99828,0,0.00345,0.74286,0.00695,0.00302,0.00411,0.88571,0.00864,0.00263,1.38846,1.62766,3.9448,1.06211,0,0.00035684,0.00035684,0.00035684
9,26.7155,1.5184,1.38049,3.17517,0.99238,0,0.00327,0.71429,0.0065,0.00254,0.00393,0.85714,0.00794,0.00281,1.51392,1.90234,3.94374,1.07969,0,0.000399093,0.000399093,0.000399093
10,28.0404,1.4326,1.41321,3.32351,1.01629,0,0.0031,0.68571,0.00601,0.00251,0.00348,0.77143,0.00673,0.002,1.6701,2.01669,4.02105,1.103,0,0.000440356,0.000440356,0.000440356
11,29.4484,1.44955,1.3624,2.98284,1.0704,0,0.00284,0.62857,0.0051,0.00241,0.00349,0.77143,0.00653,0.00173,1.68968,1.82316,4.03153,1.10192,0,0.000480629,0.000480629,0.000480629
12,30.8418,1.35278,1.27801,2.82284,1.00181,0,0.00271,0.6,0.00494,0.00254,0.00361,0.8,0.00675,0.00198,1.8666,1.7484,4.14994,1.17592,0,0.000519912,0.000519912,0.000519912
13,32.3944,1.36264,1.38002,3.08837,1.00868,0,0.00277,0.6,0.00453,0.00216,0.00303,0.65714,0.00472,0.00188,1.69086,1.66023,4.07273,1.224,0,0.000558205,0.000558205,0.000558205
14,33.7825,1.34039,1.1123,2.49452,1.015,0,0.00271,0.57143,0.00416,0.00224,0.00353,0.74286,0.0051,0.0019,1.69026,1.77135,4.01574,1.15691,0,0.000595507,0.000595507,0.000595507
15,35.1403,1.30262,1.12268,2.61944,0.99746,0,0.00296,0.6,0.00411,0.00208,0.00338,0.68571,0.00412,0.00143,1.8722,1.96908,4.13591,1.29459,0,0.00063182,0.00063182,0.00063182
16,36.5565,1.34355,0.9979,2.72172,0.98113,0,0.00294,0.6,0.00396,0.00153,0.00294,0.6,0.00346,0.00116,2.32521,2.06752,4.34487,1.61701,0,0.000667142,0.000667142,0.000667142
17,37.9659,1.20775,0.96959,2.6907,0.95665,0,0.00296,0.6,0.00408,0.00201,0.00268,0.54286,0.00296,0.00104,1.94703,2.6789,3.78711,1.34149,0,0.000701474,0.000701474,0.000701474
18,39.3477,1.27446,1.22891,2.57538,0.99249,0,0.00287,0.57143,0.00358,0.00172,0.00287,0.57143,0.00326,0.00099,2.09285,2.16826,3.91585,1.39544,0,0.000734815,0.000734815,0.000734815
19,40.7357,1.30932,0.83143,2.59318,0.99659,0,0.00307,0.6,0.00353,0.00182,0.00249,0.48571,0.00256,0.00101,2.13017,1.67015,3.87223,1.34912,0,0.000767167,0.000767167,0.000767167
20,42.0965,1.28809,1.12467,2.26891,0.96885,0,0.00271,0.51429,0.00269,0.00118,0.00136,0.25714,0.00102,0.00031,2.05553,2.29274,4.20545,1.53476,0,0.000798528,0.000798528,0.000798528
21,43.5755,1.36375,1.11062,2.67715,0.96894,0,0.00289,0.54286,0.00294,0.00128,0.00107,0.2,0.00068,0.00016,2.01136,2.48786,4.07723,1.51589,0,0.000828899,0.000828899,0.000828899
22,44.927,1.33071,0.97946,2.49255,0.98381,0,0.0027,0.51429,0.00237,0.00121,0.00105,0.2,0.00071,0.00012,2.05622,2.57184,4.21894,1.57312,0,0.00085828,0.00085828,0.00085828
23,46.2691,1.31624,0.93249,2.57456,0.99591,0,0.00243,0.45714,0.00202,0.00089,0.00167,0.31429,0.00121,0.00026,2.16761,2.36796,4.40044,1.68372,0,0.000886671,0.000886671,0.000886671
24,47.6547,1.33441,0.95703,2.27199,0.97479,0,0.00108,0.2,0.00069,0.00017,0.00031,0.05714,0.00017,2e-05,2.5883,2.95241,4.74541,2.35816,0,0.000914071,0.000914071,0.000914071
25,49.0358,1.42488,0.96376,2.23856,0.9999,0,0.00144,0.28571,0.02854,0.00574,0.00072,0.14286,0.02792,0.00496,2.40217,2.17875,4.52987,2.1248,0,0.000940481,0.000940481,0.000940481
26,50.3933,1.31235,1.14657,2.45575,1.00207,0,0.00117,0.22857,0.00155,0.00056,0.00073,0.14286,0.01313,0.00263,2.3934,2.0017,4.62504,2.14702,0,0.000965901,0.000965901,0.000965901
27,51.7549,1.25604,1.07163,2.09876,0.95556,0,0.00189,0.37143,0.02293,0.00452,0.00189,0.37143,0.02773,0.00792,2.2773,1.75009,4.30875,1.91149,0,0.000990331,0.000990331,0.000990331
28,53.2149,1.20049,0.97728,2.2649,0.91772,0,0.00232,0.45714,0.12619,0.03694,0.00189,0.37143,0.11376,0.02665,2.11544,1.65292,4.00028,1.70615,0,0.00101377,0.00101377,0.00101377
29,54.6325,1.41422,1.23931,2.32802,0.97871,0,0.00232,0.45714,0.12619,0.03694,0.00189,0.37143,0.11376,0.02665,2.11544,1.65292,4.00028,1.70615,0,0.00103622,0.00103622,0.00103622
30,56.0745,1.4547,1.34993,2.27625,0.96017,0,0.00292,0.57143,0.27388,0.09797,0.00306,0.6,0.19807,0.05168,2.14539,1.45592,3.45247,1.49315,0,0.00105768,0.00105768,0.00105768
31,57.5238,1.30536,1.19681,2.42831,0.95561,0,0.00324,0.62857,0.24644,0.1175,0.0028,0.54286,0.1948,0.06713,2.03754,1.3707,3.33458,1.37163,0,0.00107815,0.00107815,0.00107815
32,58.9773,1.28532,1.01714,2.03564,0.95027,0,0.29944,0.45714,0.24199,0.12213,0.25098,0.51429,0.2212,0.05792,1.99788,1.37736,3.25585,1.3391,0,0.00109763,0.00109763,0.00109763
33,60.316,1.32459,1.0071,2.04792,0.99726,0,0.29944,0.45714,0.24199,0.12213,0.25098,0.51429,0.2212,0.05792,1.99788,1.37736,3.25585,1.3391,0,0.00111612,0.00111612,0.00111612
34,61.6606,1.27635,1.07931,2.13533,0.95021,0,0.53299,0.22828,0.33803,0.16059,0.46628,0.19971,0.26804,0.08884,1.91796,1.34717,3.0059,1.25424,0,0.00112239,0.00112239,0.00112239
35,63.2129,1.23878,0.96331,2.19634,0.94268,0,0.5384,0.45714,0.34081,0.17363,0.49136,0.42857,0.31873,0.10721,1.6977,1.21985,2.54867,1.04008,0,0.00110589,0.00110589,0.00110589
36,64.7003,1.33787,1.08559,1.81325,0.93231,0,0.60499,0.45714,0.42737,0.23685,0.56057,0.42857,0.39805,0.16217,1.58405,1.18781,2.20055,1.01942,0,0.00108938,0.00108938,0.00108938
37,66.157,1.29243,1.16421,2.05639,0.97031,0,0.60499,0.45714,0.42737,0.23685,0.56057,0.42857,0.39805,0.16217,1.58405,1.18781,2.20055,1.01942,0,0.00107288,0.00107288,0.00107288
38,67.6339,1.2385,1.2897,1.8806,0.96441,0,0.54528,0.51429,0.40582,0.25465,0.54528,0.51429,0.40617,0.19229,1.51033,1.09189,2.13547,1.01235,0,0.00105638,0.00105638,0.00105638
39,69.1139,1.30698,0.89899,2.01497,0.94187,0,0.51939,0.42857,0.39322,0.22287,0.50541,0.43816,0.41617,0.172,1.37606,1.04394,2.18299,0.96743,0,0.00103987,0.00103987,0.00103987
40,70.4906,1.33673,0.82168,2.02951,0.92899,0,0.40913,0.37601,0.33104,0.16325,0.42596,0.38184,0.36491,0.14965,1.4521,1.38812,2.1953,0.96152,0,0.00102337,0.00102337,0.00102337
41,71.851,1.25621,0.80149,1.85096,0.94069,0,0.40913,0.37601,0.33104,0.16325,0.42596,0.38184,0.36491,0.14965,1.4521,1.38812,2.1953,0.96152,0,0.00100687,0.00100687,0.00100687
42,73.3069,1.11853,0.86293,1.73711,0.9028,0,0.44369,0.48571,0.41245,0.22993,0.44369,0.48571,0.41152,0.16133,1.42424,1.56413,1.96087,0.95398,0,0.000990365,0.000990365,0.000990365
43,74.6918,1.2539,1.06457,1.84087,0.91066,0,0.63095,0.43991,0.47993,0.29697,0.62976,0.4,0.45216,0.17117,1.34969,1.5565,1.83192,0.93714,0,0.000973861,0.000973861,0.000973861
44,76.2089,1.1788,0.85143,1.65947,0.95807,0,0.72251,0.48571,0.52157,0.33212,0.63576,0.48571,0.47366,0.16734,1.30893,1.61162,1.7778,0.92755,0,0.000957358,0.000957358,0.000957358
45,77.663,1.25015,0.75368,1.8282,0.95219,0,0.72251,0.48571,0.52157,0.33212,0.63576,0.48571,0.47366,0.16734,1.30893,1.61162,1.7778,0.92755,0,0.000940855,0.000940855,0.000940855
46,79.1381,1.31765,0.88194,1.77579,0.91851,0,0.72766,0.48571,0.58031,0.37264,0.68154,0.42857,0.52202,0.15975,1.26335,1.75115,1.70577,0.94348,0,0.000924352,0.000924352,0.000924352
47,80.633,1.18813,0.78956,1.68872,0.9794,0,0.64753,0.45714,0.57066,0.35877,0.64354,0.45714,0.53747,0.19101,1.29454,1.62017,1.67478,0.96598,0,0.000907848,0.000907848,0.000907848
48,82.0846,1.24288,0.75841,1.86656,0.93145,0,0.57395,0.42857,0.53068,0.31599,0.54115,0.42857,0.53119,0.16448,1.32031,1.54572,1.75233,0.98093,0,0.000891345,0.000891345,0.000891345
49,83.488,1.02573,0.63146,1.62118,0.93048,0,0.57395,0.42857,0.53068,0.31599,0.54115,0.42857,0.53119,0.16448,1.32031,1.54572,1.75233,0.98093,0,0.000874842,0.000874842,0.000874842
50,84.8489,1.02749,0.86205,1.65198,0.97069,0,0.51713,0.4,0.52468,0.28924,0.48232,0.34286,0.39552,0.1328,1.33426,1.59078,1.82876,0.96979,0,0.000858338,0.000858338,0.000858338
51,86.1815,1.16189,0.92088,1.79931,0.9531,0,0.45132,0.4,0.51548,0.30398,0.49484,0.4,0.45761,0.1453,1.25287,1.56272,1.76163,0.95203,0,0.000841835,0.000841835,0.000841835
52,87.5271,1.13614,0.74915,1.61002,0.90543,0,0.6069,0.48524,0.58714,0.31766,0.57117,0.45667,0.47243,0.17855,1.28693,1.7914,1.75686,0.96352,0,0.000825332,0.000825332,0.000825332
53,88.8428,1.22643,0.81651,1.67546,0.92758,0,0.6069,0.48524,0.58714,0.31766,0.57117,0.45667,0.47243,0.17855,1.28693,1.7914,1.75686,0.96352,0,0.000808828,0.000808828,0.000808828
54,90.1804,1.06583,0.85277,1.69967,0.93091,0,0.68733,0.43995,0.61714,0.29998,0.5709,0.34286,0.41857,0.17579,1.38064,1.95417,1.81475,0.97092,0,0.000792325,0.000792325,0.000792325
55,91.5341,1.05205,0.61516,1.50426,0.90083,0,0.66525,0.42857,0.59786,0.31284,0.57196,0.37143,0.54943,0.23567,1.41357,1.55489,1.77601,0.97144,0,0.000775822,0.000775822,0.000775822
56,93.0295,1.13625,0.9116,1.66817,0.93049,0,0.66471,0.56656,0.66912,0.3509,0.63118,0.53799,0.65972,0.28562,1.42622,1.29497,1.6378,0.98388,0,0.000759318,0.000759318,0.000759318
57,94.4551,1.0523,1.00742,1.67442,0.90255,0,0.66471,0.56656,0.66912,0.3509,0.63118,0.53799,0.65972,0.28562,1.42622,1.29497,1.6378,0.98388,0,0.000742815,0.000742815,0.000742815
58,95.8887,0.94848,0.60673,1.49821,0.89669,0,0.6222,0.62857,0.65581,0.34334,0.53274,0.54286,0.59275,0.24777,1.40571,1.35693,1.57961,0.97441,0,0.000726312,0.000726312,0.000726312
59,97.2523,1.10981,1.07767,1.61383,0.90615,0,0.63236,0.58994,0.6093,0.34904,0.5494,0.48571,0.52318,0.19156,1.39143,1.91997,1.54192,0.96872,0,0.000709809,0.000709809,0.000709809
60,98.585,1.0329,1.06992,1.59237,0.90157,0,0.66477,0.54286,0.6429,0.35971,0.56779,0.45714,0.52756,0.20524,1.36832,1.85644,1.56987,0.96939,0,0.000693305,0.000693305,0.000693305
61,99.9136,1.13062,0.87459,1.56619,0.9149,0,0.66477,0.54286,0.6429,0.35971,0.56779,0.45714,0.52756,0.20524,1.36832,1.85644,1.56987,0.96939,0,0.000676802,0.000676802,0.000676802
62,101.252,1.12223,0.76767,1.63071,0.86014,0,0.67059,0.57143,0.65158,0.38421,0.62908,0.57143,0.60675,0.23678,1.26772,1.35263,1.56294,0.94157,0,0.000660299,0.000660299,0.000660299
63,102.722,1.02201,0.68618,1.37975,0.86354,0,0.76301,0.54286,0.71967,0.41575,0.83366,0.57143,0.68335,0.25488,1.17165,1.16601,1.588,0.92058,0,0.000643795,0.000643795,0.000643795
64,104.201,1.0767,0.93499,1.55157,0.91387,0,0.87199,0.6,0.75071,0.44868,0.82206,0.57143,0.71177,0.30208,1.09816,1.1584,1.54915,0.90874,0,0.000627292,0.000627292,0.000627292
65,105.651,0.99537,0.69885,1.37335,0.87813,0,0.87199,0.6,0.75071,0.44868,0.82206,0.57143,0.71177,0.30208,1.09816,1.1584,1.54915,0.90874,0,0.000610789,0.000610789,0.000610789
66,107.157,0.95612,0.65125,1.42473,0.92294,0,0.91301,0.59979,0.7696,0.44759,0.86952,0.57122,0.68124,0.31816,1.12931,1.23493,1.41479,0.90564,0,0.000594286,0.000594286,0.000594286
67,108.662,0.96071,0.65792,1.32848,0.86663,0,0.91458,0.61212,0.76241,0.4469,0.78022,0.6,0.63573,0.28062,1.13456,1.36652,1.27826,0.91496,0,0.000577782,0.000577782,0.000577782
68,110.049,0.97659,0.71987,1.44172,0.91251,0,0.77452,0.65714,0.7951,0.45149,0.66866,0.62857,0.63895,0.27138,0.99937,1.34401,1.11856,0.9047,0,0.000561279,0.000561279,0.000561279
69,111.419,0.95186,0.79618,1.28822,0.87775,0,0.77452,0.65714,0.7951,0.45149,0.66866,0.62857,0.63895,0.27138,0.99937,1.34401,1.11856,0.9047,0,0.000544776,0.000544776,0.000544776
70,112.882,1.01552,0.66307,1.4031,0.89561,0,0.83578,0.65714,0.77273,0.49176,0.74391,0.6,0.64091,0.26346,1.06249,1.1413,1.12719,0.91254,0,0.000528272,0.000528272,0.000528272
71,114.273,1.04894,0.78662,1.56862,0.88131,0,0.86193,0.68571,0.79391,0.49204,0.7811,0.65714,0.71364,0.2896,1.14271,1.0551,1.06997,0.92347,0,0.000511769,0.000511769,0.000511769
72,115.719,1.00845,0.78597,1.33474,0.8796,0,0.85543,0.65714,0.79418,0.47845,0.79448,0.6,0.70252,0.33662,1.12549,1.06969,1.06251,0.91948,0,0.000495266,0.000495266,0.000495266
73,117.153,1.03045,0.7477,1.38406,0.89907,0,0.85543,0.65714,0.79418,0.47845,0.79448,0.6,0.70252,0.33662,1.12549,1.06969,1.06251,0.91948,0,0.000478762,0.000478762,0.000478762
74,118.628,0.87321,0.65132,1.33305,0.86936,0,0.84194,0.68571,0.78268,0.4366,0.75581,0.57143,0.67924,0.25745,1.09252,1.19916,1.143,0.91391,0,0.000462259,0.000462259,0.000462259
75,119.995,1.02206,0.72005,1.38999,0.87962,0,0.87078,0.65714,0.77516,0.41995,0.63932,0.62857,0.66147,0.27831,1.20792,1.32297,1.1784,0.92087,0,0.000445756,0.000445756,0.000445756
76,121.527,0.93644,0.74027,1.32955,0.87884,0,0.90205,0.65714,0.80881,0.41199,0.7405,0.57075,0.6562,0.30408,1.26841,1.23231,1.22888,0.92874,0,0.000429253,0.000429253,0.000429253
77,122.874,1.04445,0.79509,1.30623,0.86742,0,0.90205,0.65714,0.80881,0.41199,0.7405,0.57075,0.6562,0.30408,1.26841,1.23231,1.22888,0.92874,0,0.000412749,0.000412749,0.000412749
78,124.245,0.99318,0.54405,1.30085,0.88833,0,0.83149,0.62857,0.76686,0.41794,0.71138,0.63392,0.76086,0.35731,1.25584,1.09131,1.19451,0.92263,0,0.000396246,0.000396246,0.000396246
79,125.61,0.88935,0.6071,1.19359,0.86854,0,0.84856,0.64062,0.82795,0.45486,0.83139,0.62857,0.77681,0.32888,1.18979,1.08249,1.1118,0.90983,0,0.000379743,0.000379743,0.000379743
80,127.073,0.93138,0.60521,1.27238,0.88796,0,0.8464,0.71429,0.84359,0.44978,0.82338,0.68571,0.7971,0.33535,1.14703,1.13576,1.05318,0.90891,0,0.000363239,0.000363239,0.000363239
81,128.435,0.90044,0.65973,1.22083,0.88081,0,0.8464,0.71429,0.84359,0.44978,0.82338,0.68571,0.7971,0.33535,1.14703,1.13576,1.05318,0.90891,0,0.000346736,0.000346736,0.000346736
82,129.807,0.87805,0.60961,1.24893,0.855,0,0.87717,0.71429,0.83386,0.46395,0.78148,0.62857,0.72738,0.25917,1.13781,1.17672,1.00812,0.90886,0,0.000330233,0.000330233,0.000330233
83,131.164,0.89074,0.56449,1.2948,0.85663,0,0.8776,0.62857,0.79821,0.44827,0.79525,0.68571,0.79092,0.28179,1.1561,1.21323,1.00903,0.91933,0,0.000313729,0.000313729,0.000313729
84,132.758,0.87513,1.00234,1.33798,0.88785,0,0.82905,0.693,0.78857,0.46463,0.80208,0.69494,0.74749,0.25996,1.18025,1.20916,1.03059,0.9365,0,0.000297226,0.000297226,0.000297226
85,134.172,0.893,0.65614,1.22956,0.88098,0,0.82905,0.693,0.78857,0.46463,0.80208,0.69494,0.74749,0.25996,1.18025,1.20916,1.03059,0.9365,0,0.000280723,0.000280723,0.000280723
86,135.541,0.75313,0.64786,1.19726,0.86709,0,0.82881,0.69178,0.79935,0.45245,0.77436,0.68571,0.74795,0.25353,1.19184,1.16597,1.05167,0.93468,0,0.00026422,0.00026422,0.00026422
87,136.907,0.95306,0.67753,1.20253,0.86184,0,0.81211,0.71429,0.79692,0.45563,0.77962,0.68571,0.74848,0.29329,1.15826,1.08075,1.07091,0.91789,0,0.000247716,0.000247716,0.000247716
88,138.253,0.82617,0.63671,1.25584,0.84471,0,0.87597,0.60552,0.78902,0.47657,0.88296,0.6469,0.7802,0.31063,1.13678,1.02018,1.078,0.9112,0,0.000231213,0.000231213,0.000231213
89,139.566,0.82231,0.59673,1.14571,0.87391,0,0.87597,0.60552,0.78902,0.47657,0.88296,0.6469,0.7802,0.31063,1.13678,1.02018,1.078,0.9112,0,0.00021471,0.00021471,0.00021471
90,140.944,0.79787,0.57605,1.11431,0.83026,0,0.78333,0.68571,0.81336,0.49594,0.85115,0.62857,0.76199,0.32191,1.09825,1.02294,1.07835,0.90362,0,0.000198206,0.000198206,0.000198206
91,144.774,0.86569,0.4677,1.54976,0.85986,0,0.92689,0.6,0.79945,0.50385,0.83987,0.6,0.74804,0.34147,1.06185,1.01417,1.08005,0.89677,0,0.000181703,0.000181703,0.000181703
92,146.226,0.73508,0.59825,1.35927,0.85803,0,0.9064,0.62857,0.8114,0.50492,0.8652,0.6,0.74683,0.33525,1.07079,1.00094,1.09323,0.90578,0,0.0001652,0.0001652,0.0001652
93,147.552,0.73444,0.77115,1.45718,0.83984,0,0.9064,0.62857,0.8114,0.50492,0.8652,0.6,0.74683,0.33525,1.07079,1.00094,1.09323,0.90578,0,0.000148696,0.000148696,0.000148696
94,148.888,0.8134,0.56913,1.46826,0.88954,0,0.76434,0.64889,0.79133,0.49519,0.87427,0.6,0.74707,0.33129,1.06361,0.99546,1.08347,0.90934,0,0.000132193,0.000132193,0.000132193
95,150.253,0.75982,0.48961,1.41546,0.87327,0,0.95565,0.616,0.79959,0.48703,0.91183,0.59124,0.74187,0.3225,1.06468,0.98754,1.07998,0.91195,0,0.00011569,0.00011569,0.00011569
96,151.598,0.82756,0.70255,1.45456,0.8467,0,0.87461,0.57143,0.7652,0.47332,0.87461,0.57143,0.73524,0.31455,1.07463,0.9798,1.08421,0.91307,0,9.91865e-05,9.91865e-05,9.91865e-05
97,152.952,0.76658,0.59081,1.41308,0.81899,0,0.87461,0.57143,0.7652,0.47332,0.87461,0.57143,0.73524,0.31455,1.07463,0.9798,1.08421,0.91307,0,8.26832e-05,8.26832e-05,8.26832e-05
98,154.305,0.75535,0.70001,1.42134,0.84106,0,0.86971,0.57218,0.75733,0.45987,0.86971,0.57218,0.7262,0.30161,1.0903,0.98268,1.09195,0.91479,0,6.61799e-05,6.61799e-05,6.61799e-05
99,155.782,0.77958,0.56737,1.42436,0.84796,0,0.66796,0.68571,0.76104,0.46447,0.7633,0.57143,0.69351,0.29592,1.09797,0.98785,1.08259,0.91433,0,4.96766e-05,4.96766e-05,4.96766e-05
100,157.143,0.78366,0.44345,1.40338,0.87426,0,0.81323,0.6,0.75891,0.46088,0.75659,0.57143,0.68885,0.2973,1.11593,0.98999,1.08954,0.91958,0,3.31733e-05,3.31733e-05,3.31733e-05
